name,price,address,details,link,removed_timestamp
PIERRE ET MARIE CURIE,"418,57 €",10 AV PREVOST 33400 TALENCE,"de 83 à 89 m² | Colocation | 4 lits simples | Pièce à vivre, WC, Douche, Evier + plaque, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/1971,2025-08-13 12:22:15 UTC+01:00
BASTIDE,"de 306,36 à 612,7 €",29 av ABADIE 33100 BORDEAUX,"de 29,7 à 51,68 m² | Colocation, Couple | 2 lits rapprochables | Pièce à vivre, WC, Douche, Evier + plaque, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/351,2025-08-14 08:00:14 UTC+01:00
VILLAGE 3,262 €,9 Esplanade des Antilles 33600 PESSAC,"9 m² | Individuel | 1 lit simple | WC, Douche, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/2249,2025-08-14 08:22:13 UTC+01:00
VILLAGE 5,262 €,20 avenue de BARDANAC 33600 PESSAC,"de 11,5 à 12 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/700,2025-08-18 09:22:17 UTC+01:00
VILLAGE 1,262 €,AVENUE COLLEGNO 33400 TALENCE,"de 9 à 10,8 m² | Individuel | 1 lit simple | WC, Douche, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/1673,2025-08-18 12:00:17 UTC+01:00
MAISON DES ETUDIANTS,262 €,50 rue LIGIER 33000 BORDEAUX,12 m² | Individuel | 1 lit simple | Frigo,https://trouverunlogement.lescrous.fr/tools/41/accommodations/1503,2025-08-18 15:44:14 UTC+01:00
VILLAGE 3,262 €,9 Esplanade des Antilles 33600 PESSAC,"9 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/2282,2025-08-19 15:00:14 UTC+01:00
VILLAGE 3,262 €,9 Esplanade des Antilles 33600 PESSAC,"9 m² | Individuel | 1 lit simple | WC, Douche, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/2249,2025-08-22 11:44:15 UTC+01:00
VILLAGE 2,262 €,7 avenue PEY BERLAND 33600 PESSAC,"de 9,5 à 11,8 m² | Individuel | 1 lit simple | WC, Douche, Evier + plaque, Frigo",https://trouverunlogement.lescrous.fr/tools/41/accommodations/1902,2025-08-27 14:22:13 UTC+01:00
PIERRE GILLES DE GENNES,"355,93 €",10 rue Robert ESCARPIT 33600 PESSAC,"de 78,73 à 88,57 m² | Colocation | 4 lits simples | Pièce à vivre, WC, Douche, Evier + plaque, Frigo, Duplex",https://trouverunlogement.lescrous.fr/tools/41/accommodations/1566,2025-08-27 15:00:15 UTC+01:00
AUSONE,"720,66 €",10 Lucie Aubrac 33600 PESSAC,"de 42,66 à 42,67 m² | Individuel, Couple | 2 lits rapprochables | Pièce à vivre, WC, Douche, Evier + plaque, Frigo | Logement adaptéPMR",https://trouverunlogement.lescrous.fr/tools/41/accommodations/2581,2025-08-28 01:00:18 UTC+01:00
AUSONE,"720,66 €",10 Lucie Aubrac 33600 PESSAC,"de 42,66 à 42,67 m² | Individuel, Couple | 2 lits rapprochables | Pièce à vivre, WC, Douche, Evier + plaque, Frigo | Logement adaptéPMR",https://trouverunlogement.lescrous.fr/tools/41/accommodations/2581,2025-08-28 08:22:13 UTC+01:00
AUSONE,"720,66 €",10 Lucie Aubrac 33600 PESSAC,"de 42,66 à 42,67 m² | Individuel, Couple | 2 lits rapprochables | Pièce à vivre, WC, Douche, Evier + plaque, Frigo | Logement adaptéPMR",https://trouverunlogement.lescrous.fr/tools/41/accommodations/2581,2025-08-29 14:22:20 UTC+01:00
